RACE,Population Percentage,State
6,2.8217194653839877,New York
1,69.91599100212703,North Carolina
2,22.187886631735587,North Carolina
3,1.5536631413127222,North Carolina
4,3.582315797974254,North Carolina
5,0.14840676764022118,North Carolina
6,2.611736659210188,North Carolina
1,86.63143670734196,North Dakota
2,3.6095736858382494,North Dakota
3,5.317217209638362,North Dakota
4,1.7466548434991613,North Dakota
5,0.117932246063899,North Dakota
6,2.5771853076183717,North Dakota
1,80.89399524908775,Ohio
2,13.32058756430089,Ohio
3,0.3048726027040697,Ohio
4,2.748923150940562,Ohio
5,0.07162264765961515,Ohio
6,2.6599987853071156,Ohio
1,73.04149460172148,Oklahoma
2,7.91927459077566,Oklahoma
3,9.518831782675756,Oklahoma
4,2.581347330712971,Oklahoma
5,0.2507338673565849,Oklahoma
6,6.68831782675755,Oklahoma
1,85.85536269229037,Oregon
2,2.3400658988141183,Oregon
3,1.8901511908695403,Oregon
4,5.121226035856861,Oregon
5,0.48800309989983814,Oregon
6,4.305191082269276,Oregon
1,80.78652125407261,Pennsylvania
2,12.198967191509595,Pennsylvania
3,0.44673885492515886,Pennsylvania
4,4.106025836555142,Pennsylvania
5,0.0929385797480236,Pennsylvania
6,2.368808283189465,Pennsylvania
1,82.75339342106948,Rhode Island
2,9.056223908189743,Rhode Island
3,1.2232407514075634,Rhode Island
4,3.685722488283257,Rhode Island
5,0.20900877178546154,Rhode Island
6,3.0724106592645013,Rhode Island
1,68.86297631068138,South Carolina
2,26.254724442389914,South Carolina
3,0.5704919174790455,South Carolina
4,1.9968447558547497,South Carolina
5,0.10725709939397657,South Carolina
6,2.2077054742009383,South Carolina
1,84.24365591586944,South Dakota
2,2.5693980374226224,South Dakota
3,8.516042663196398,South Dakota
4,1.787598480585256,South Dakota
5,0.12859629994372537,South Dakota
6,2.754708602982555,South Dakota
1,78.30287268843549,Tennessee
2,16.746663293312093,Tennessee
3,0.5204968871869584,Tennessee
4,2.076527592844423,Tennessee
5,0.10982311302860351,Tennessee
6,2.243616425192435,Tennessee
1,77.39742677651216,Texas
2,13.389374980102946,Texas
3,1.0737515672884048,Texas
4,5.716614942097743,Texas
5,0.16202695129987202,Texas
6,2.2608047826988678,Texas
1,90.02602934216753,Utah
2,1.5610802176999528,Utah
3,1.5419427354472315,Utah
4,2.7957584003786087,Utah
5,1.1625059157595836,Utah
6,2.9126833885470895,Utah
1,93.8375492996056,Vermont
2,1.5191696648244997,Vermont
3,0.39346957951609113,Vermont
4,2.063783489732082,Vermont
5,0.038636054547927255,Vermont
6,2.1473919117737967,Vermont
1,68.4890942359401,Virginia
2,20.013660203194082,Virginia
3,0.58242997533632,Virginia
4,7.343205638110101,Virginia
5,0.12662923142989116,Virginia
6,3.444980715989497,Virginia
1,76.83625005876092,Washington
2,4.590801750780204,Washington
3,1.980249649810565,Washington
4,10.458006423500466,Washington
5,0.8473518280620608,Washington
6,5.287340289085778,Washington
1,92.83882655946857,West Virginia
2,3.72981304178337,West Virginia
3,0.27535608138101664,West Virginia
4,0.9177221607565758,West Virginia
5,0.03475750863586074,West Virginia
6,2.2035246479746005,West Virginia
1,86.61385185571109,Wisconsin
2,6.625802561510412,Wisconsin
3,1.214332225887686,Wisconsin
4,3.2362619916474036,Wisconsin
5,0.06129785479570012,Wisconsin
6,2.2484535104477033,Wisconsin
1,92.29283378713787,Wyoming
2,1.2318944031538699,Wyoming
3,2.799025079938973,Wyoming
4,1.119059618391382,Wyoming
5,0.10784666165560966,Wyoming
6,2.4493404497222993,Wyoming
1,75.4910193061903,Total
2,13.621793567288803,Total
3,1.3148507671410008,Total
4,6.28704569369807,Total
5,0.26367861071993154,Total
6,3.0216120549618957,Total
